nusoc;cdepso;cvilso;sexsoc;bgesso;aadhso;anaiso;mnaiso;jnaiso;cspsoc;sitmat;nbenf;accmai;accsms;sitpav1
35991;45;550;1;122;2023;1994;7;30;62;O;0;1;1;Non abonné
36060;88;110;1;23;2023;1987;7;4;20;N;0;1;1;Non abonné
36069;69;006;3;117;2023;1950;1;1;70;STE;0;2;0;Non abonné
36074;80;800;1;138;2023;1973;2;22;40;O;0;1;1;Non abonné
36113;87;280;1;105;2023;1974;1;21;50;O;0;1;1;Non abonné
36194;73;100;1;64;2023;1965;6;15;40;N;0;1;1;Non abonné
36300;30;250;1;36;2023;1983;10;16;40;NC;0;1;1;Non abonné
36390;11;400;1;11;2023;1979;9;16;80;NC;0;1;1;Non abonné
36409;57;840;1;103;2023;1987;12;17;20;O;0;1;1;Non abonné
36525;59;122;1;166;2023;1970;5;13;20;O;0;1;1;Non abonné
36526;74;370;1;64;2023;1967;7;9;12;O;0;1;1;Non abonné
36545;67;990;1;23;2023;1962;10;13;40;O;0;1;1;Non abonné
36616;58;000;1;122;2023;1972;8;21;20;O;0;1;1;Non abonné
36626;75;010;1;90;2023;1968;7;6;40;N;0;1;1;Non abonné
36630;38;090;2;39;2023;1992;7;1;50;NC;0;1;1;Non abonné
36665;13;007;2;33;2023;1974;1;31;40;O;0;1;0;Non abonné
36731;69;780;2;51;2023;1991;9;10;62;N;0;1;1;Non abonné
36733;84;000;1;107;2023;1983;1;4;40;NC;0;1;1;Non abonné
36788;91;620;1;92;2023;1973;8;1;80;NC;0;2;1;Non abonné
36802;72;400;1;84;2023;1979;7;26;40;O;0;1;1;Abonné
36818;56;190;1;46;2023;1988;6;7;40;NC;0;1;1;Non abonné
36828;56;100;2;46;2023;1993;11;14;40;N;0;1;1;Non abonné
36858;76;240;1;27;2023;1983;1;10;20;O;0;1;1;Non abonné
36915;41;170;1;84;2023;1991;10;15;63;O;0;1;1;Abonné
37008;41;000;1;84;2023;1978;12;27;50;NC;0;1;1;Non abonné
37130;75;018;1;90;2023;1989;6;15;40;N;0;1;1;Non abonné
37145;95;110;1;90;2023;1995;12;31;40;NC;0;1;1;Non abonné
37150;67;370;1;23;2023;1989;12;1;40;NC;0;1;1;Non abonné
37163;92;410;1;92;2023;1970;6;8;80;NC;0;1;1;Non abonné
37185;13;400;1;33;2023;1982;2;18;40;N;0;1;1;Non abonné
37240;77;115;1;92;2023;1993;1;27;40;N;0;1;1;Abonné
37267;35;170;1;46;2023;1989;11;14;80;O;0;1;1;Non abonné
37429;63;170;3;117;2023;1970;1;1;70;STE;0;2;0;Non abonné
37455;06;500;1;41;2023;1999;4;20;62;N;0;1;1;Non abonné
37459;73;370;1;64;2023;1991;12;4;40;N;0;1;1;Non abonné
37505;69;780;1;51;2023;1974;8;15;40;NC;0;1;1;Non abonné
37525;20;167;1;33;2023;1995;7;22;40;O;0;1;1;Non abonné
37558;52;200;1;131;2023;1994;1;31;50;NC;0;1;1;Non abonné
37600;94;440;3;117;2023;1950;1;1;70;STE;0;1;0;Non abonné
37677;14;250;1;111;2023;1992;1;7;50;N;0;1;1;Non abonné
37761;34;920;1;11;2023;1974;4;3;40;O;0;0;1;Non abonné
37798;74;000;1;64;2023;1970;12;31;40;N;0;2;1;Non abonné
37826;92;400;1;90;2023;1985;7;23;63;O;0;1;1;Non abonné
37931;44;350;1;66;2023;1966;12;20;63;O;0;1;1;Non abonné
37941;13;190;1;33;2023;1993;6;23;62;N;0;1;1;Non abonné
37966;56;310;1;46;2023;1993;11;6;40;O;0;1;1;Non abonné
37980;13;013;1;33;2023;1996;2;6;40;N;0;1;1;Non abonné
37983;33;700;1;9;2023;1979;6;16;40;O;0;1;1;Non abonné
37997;80;270;1;138;2023;1989;5;20;40;NC;0;1;1;Non abonné
38026;84;360;1;107;2023;1994;7;9;40;O;0;1;1;Non abonné
38062;13;005;1;33;2023;1981;11;3;80;NC;0;2;0;Non abonné
38073;57;130;1;103;2023;1957;4;14;40;NC;0;1;1;Abonné
38121;77;100;1;92;2023;1951;10;7;80;O;0;2;1;Non abonné
38123;91;330;1;92;2023;1991;6;5;80;NC;0;1;0;Non abonné
38134;64;110;1;104;2023;1986;10;4;11;O;0;1;1;Non abonné
38135;69;300;1;51;2023;1990;5;13;20;NC;0;1;1;Non abonné
38140;75;018;1;90;2023;1984;5;7;40;N;0;1;1;Non abonné
38164;87;400;1;105;2023;1964;6;23;40;O;0;1;1;Abonné
38186;71;700;1;51;2023;1980;5;25;12;N;0;1;1;Non abonné
38230;07;200;1;112;2023;1994;7;4;62;N;0;1;1;Non abonné
38332;38;640;1;39;2023;1980;5;10;40;N;0;1;1;Non abonné
38333;33;360;1;9;2023;1983;7;13;12;NC;0;1;1;Non abonné
38376;69;004;1;51;2023;1995;4;25;40;N;0;1;1;Abonné
38500;97;300;1;155;2023;1990;6;13;40;N;0;1;1;Non abonné
38585;71;360;1;51;2023;1967;7;12;40;O;0;1;0;Non abonné
38624;13;007;1;33;2023;1941;7;29;61;O;0;1;1;Abonné
38656;13;004;1;33;2023;1987;1;14;40;NC;0;2;0;Non abonné
38677;95;370;1;90;2023;1989;5;14;30;NC;0;1;1;Non abonné
38750;84;550;1;107;2023;1991;8;15;20;N;0;1;1;Non abonné
38769;35;510;1;46;2023;1986;12;8;20;NC;0;1;1;Non abonné
38794;30;390;1;36;2023;1965;11;10;80;NC;0;1;1;Non abonné
38810;38;460;1;39;2023;1963;5;25;40;O;0;1;1;Non abonné
38867;13;004;1;33;2023;1958;9;4;80;O;0;1;1;Non abonné
38981;95;240;1;90;2023;1953;1;28;14;N;0;1;1;Non abonné
38990;84;000;1;107;2023;1994;2;21;62;N;0;1;1;Non abonné
39033;56;160;1;46;2023;1987;11;6;40;NC;0;1;1;Non abonné
39121;73;230;1;64;2023;1976;10;21;40;N;0;1;1;Abonné
39163;75;001;3;117;2023;1950;1;1;70;STE;0;1;1;Non abonné
39216;69;300;1;51;2023;1974;10;4;20;NC;0;1;1;Non abonné
39265;30;130;1;36;2023;1989;3;31;40;N;0;1;1;Non abonné
39330;92;500;1;159;2023;1968;9;19;80;O;0;1;1;Non abonné
39331;14;680;1;111;2023;1995;8;1;40;N;0;1;1;Non abonné
39334;65;000;1;147;2023;1973;1;24;40;O;0;1;1;Non abonné
39423;06;450;1;41;2023;1958;8;16;20;O;0;1;1;Non abonné
39493;36;000;1;113;2023;1993;9;29;80;N;0;1;1;Non abonné
39511;81;000;1;68;2023;1973;1;20;40;NC;0;1;1;Non abonné
39699;56;600;1;46;2023;1990;4;18;40;NC;0;1;0;Non abonné
39745;44;300;1;66;2023;1984;6;4;40;NC;0;1;1;Non abonné
39754;33;130;2;84;2023;2000;8;30;40;N;0;1;1;Non abonné
39844;35;500;1;46;2023;1964;11;16;50;NC;0;2;1;Non abonné
39909;75;018;1;90;2023;1990;9;14;50;N;0;1;1;Non abonné
39986;97;460;3;117;2023;1950;1;1;70;STE;0;0;0;Non abonné
40206;14;112;1;111;2023;1990;5;29;40;O;0;1;1;Non abonné
40217;09;120;1;68;2023;1982;9;7;80;NC;0;2;0;Non abonné
40224;76;540;1;27;2023;1992;7;23;50;N;0;1;1;Non abonné
40419;74;000;1;64;2023;1980;10;22;40;N;0;2;1;Non abonné
40457;31;190;1;68;2023;1991;4;29;40;N;0;1;1;Non abonné
40511;13;006;1;33;2023;1989;3;10;30;O;0;2;1;Non abonné
40556;57;890;1;103;2023;1959;5;26;61;O;0;1;1;Non abonné
40591;13;008;1;33;2023;1972;4;16;30;O;0;1;1;Non abonné
40621;47;520;1;118;2023;1964;1;22;40;N;0;1;1;Non abonné
40632;75;017;1;90;2023;1962;8;5;80;O;0;1;1;Non abonné
40850;67;230;1;23;2023;1989;5;22;30;O;0;1;0;Non abonné
40991;97;232;2;154;2023;1969;10;29;40;O;0;1;0;Non abonné
40999;30;100;1;36;2023;1990;2;5;40;NC;0;1;1;Non abonné
41045;75;014;2;90;2023;1995;1;15;80;NC;0;1;1;Non abonné
41115;74;600;1;64;2023;1992;6;12;40;O;0;1;1;Non abonné
41129;13;910;1;33;2023;1983;11;15;80;NC;0;2;0;Non abonné
41234;40;390;1;147;2023;1989;10;30;50;N;0;2;0;Non abonné
41250;06;270;1;17;2023;1995;1;15;40;N;0;1;0;Non abonné
41265;69;300;1;51;2023;1994;5;18;40;N;0;2;1;Abonné
41272;69;510;2;51;2023;1967;9;21;40;O;0;1;1;Non abonné
41306;07;250;1;112;2023;1993;8;11;40;O;0;2;1;Non abonné
41322;98;843;1;157;2023;1987;8;12;80;NC;0;1;1;Non abonné
41346;78;125;1;90;2023;1987;5;9;40;O;0;2;1;Non abonné
41349;83;000;1;30;2023;1952;2;20;14;N;0;1;1;Non abonné
41406;17;780;1;9;2023;1997;9;30;63;N;0;1;1;Non abonné
41414;69;610;1;51;2023;1977;12;14;40;NC;0;1;1;Non abonné
41418;68;700;1;23;2023;1990;8;4;20;O;0;1;1;Non abonné
41454;83;110;1;30;2023;1963;8;30;40;NC;0;1;1;Non abonné
41494;29;780;1;139;2023;1993;3;29;62;NC;0;1;1;Non abonné
41539;22;000;1;139;2023;1988;4;26;80;N;0;1;1;Non abonné
41547;06;100;1;41;2023;1969;9;23;40;O;0;1;1;Non abonné
41665;97;410;1;136;2023;1978;12;2;20;NC;0;1;1;Non abonné
41705;91;240;3;117;2023;1950;1;1;70;STE;0;1;0;Non abonné
41721;69;510;1;51;2023;1991;4;4;80;NC;0;1;0;Non abonné
41761;83;200;1;30;2023;1990;12;6;40;N;0;1;1;Non abonné
41855;13;160;1;33;2023;1993;10;6;20;N;0;1;1;Non abonné
41920;69;380;1;53;2023;1962;9;8;20;NC;0;1;1;Non abonné
41963;74;000;2;64;2023;1992;7;30;40;O;0;1;1;Non abonné
41984;67;140;1;23;2023;1989;5;31;40;N;0;1;1;Non abonné
42012;54;150;1;103;2023;1985;12;13;40;NC;0;1;1;Non abonné
42179;08;200;1;103;2023;1985;6;10;40;NC;0;1;1;Non abonné
42200;87;600;1;105;2023;1965;2;5;50;O;0;0;1;Non abonné
42207;01;800;1;51;2023;1994;2;28;40;NC;0;1;1;Non abonné
42224;35;230;1;46;2023;1964;5;13;40;O;0;1;1;Non abonné
42273;69;360;1;51;2023;1991;4;29;40;N;0;1;1;Non abonné
42333;69;007;1;51;2023;1994;4;26;62;N;0;1;2;Non abonné
42396;69;780;1;51;2023;1978;12;10;40;NC;0;1;1;Non abonné
42405;13;190;2;33;2023;1977;4;18;40;O;0;1;1;Non abonné
42430;30;320;1;36;2023;1996;12;28;40;N;0;1;1;Non abonné
42440;33;750;1;9;2023;1970;2;22;40;O;0;1;1;Non abonné
42487;37;270;1;84;2023;1988;11;26;40;NC;0;1;1;Non abonné
42519;80;090;1;138;2023;1989;10;20;40;N;0;1;1;Non abonné
42538;84;700;3;117;2023;1950;1;1;70;STE;0;2;0;Non abonné
42546;40;110;1;147;2023;1961;11;23;40;O;0;1;1;Non abonné
42557;53;210;1;46;2023;1995;9;13;50;NC;0;1;1;Non abonné
42726;56;600;1;46;2023;1977;12;13;40;O;0;1;2;Non abonné
42736;62;400;1;166;2023;1989;12;14;20;NC;0;1;1;Non abonné
42804;76;150;1;27;2023;1995;11;21;40;N;0;1;1;Non abonné
42813;66;330;1;11;2023;1984;6;11;40;O;0;1;0;Non abonné
42883;02;220;1;138;2023;1960;2;5;50;O;0;1;2;Non abonné
42906;13;002;1;33;2023;1987;6;28;12;O;0;1;1;Non abonné
42917;33;440;1;9;2023;1975;6;11;20;O;0;1;1;Non abonné
42983;38;610;3;117;2023;1950;1;1;70;STE;0;1;0;Non abonné
43032;26;790;1;112;2023;1967;7;18;40;O;0;1;1;Non abonné
43062;60;240;1;138;2023;1982;4;27;40;N;0;1;1;Non abonné
43117;69;009;1;51;2023;1988;12;4;62;N;0;1;1;Non abonné
43134;97;351;2;155;2023;1990;4;21;80;NC;0;1;1;Non abonné
43149;59;152;1;166;2023;1950;10;9;61;O;0;1;1;Non abonné
43151;91;000;3;117;2023;1950;5;1;70;STE;0;1;1;Non abonné
43163;83;600;1;30;2023;1995;8;5;40;N;0;1;1;Non abonné
43220;94;400;2;92;2023;1966;3;12;80;NC;0;2;1;Non abonné
43235;56;400;1;46;2023;1995;8;2;50;N;0;1;1;Non abonné
43324;91;140;1;159;2023;1990;2;6;20;O;0;1;1;Non abonné
43344;95;260;1;90;2023;1991;10;17;40;N;0;1;1;Non abonné
43386;30;900;2;36;2023;1992;7;23;40;NC;0;1;1;Non abonné
43401;34;970;1;11;2023;1988;8;28;40;NC;0;1;1;Non abonné
43405;56;920;2;46;2023;1969;8;4;62;N;0;1;1;Non abonné
43482;69;006;1;51;2023;1982;4;13;20;O;0;1;1;Non abonné
43509;31;400;1;68;2023;1962;12;2;20;O;0;1;1;Non abonné
43584;85;270;1;66;2023;1993;8;25;40;NC;0;1;1;Non abonné
43660;94;800;1;92;2023;1949;3;27;80;NC;0;1;1;Non abonné
43709;35;133;1;46;2023;1992;2;6;20;N;0;1;1;Non abonné
43775;95;800;1;90;2023;1975;1;2;80;NC;0;1;1;Non abonné
43785;45;770;1;122;2023;1991;9;6;80;NC;0;1;1;Non abonné
43876;29;280;1;46;2023;1992;11;6;40;O;0;1;1;Abonné
43913;06;110;1;17;2023;1995;1;10;40;N;0;2;1;Non abonné
44000;34;800;2;11;2023;1991;1;1;14;O;0;1;1;Non abonné
44014;67;100;1;23;2023;1990;4;17;40;N;0;1;1;Non abonné
44028;74;200;1;64;2023;1955;4;13;40;O;0;1;1;Non abonné
44057;42;360;1;13;2023;1997;6;22;62;N;0;1;1;Non abonné
44121;81;260;1;68;2023;1996;8;19;63;N;0;1;1;Non abonné
44204;95;330;1;90;2023;1988;2;3;40;N;0;1;2;Non abonné
44226;31;700;1;68;2023;1990;2;21;40;NC;0;1;1;Non abonné
44239;67;270;1;23;2023;1991;1;11;40;O;0;1;1;Non abonné
44389;34;400;1;11;2023;1982;4;2;80;N;0;1;1;Non abonné
44396;24;330;1;105;2023;1955;12;13;80;NC;0;1;1;Non abonné
44455;75;015;1;90;2023;1991;12;20;40;NC;0;1;1;Non abonné
44548;97;436;1;136;2023;1992;12;28;80;NC;0;1;1;Non abonné
44617;54;700;1;151;2023;1994;9;17;80;NC;0;1;1;Non abonné
44770;56;400;1;46;2023;1990;5;3;40;O;0;1;1;Non abonné
44823;78;000;1;90;2023;1966;9;7;40;N;0;1;1;Non abonné
44845;45;320;2;122;2023;1991;9;10;40;O;0;1;1;Non abonné
44942;80;470;1;138;2023;1965;7;30;40;O;0;1;0;Non abonné
44959;63;510;1;62;2023;1990;1;30;40;N;0;2;1;Non abonné
44979;98;890;1;157;2023;1974;11;11;80;NC;0;1;1;Non abonné
45014;06;100;1;41;2023;1995;2;12;62;N;0;1;1;Non abonné
45086;83;000;1;30;2023;1968;9;5;80;NC;0;1;1;Non abonné
45121;69;290;1;51;2023;1995;5;26;40;NC;0;1;1;Non abonné
45123;91;390;1;92;2023;1981;5;3;80;NC;0;2;1;Non abonné
45248;20;260;3;117;2023;1950;1;1;70;STE;0;1;1;Non abonné
45249;75;018;1;90;2023;1993;12;28;80;NC;0;1;1;Non abonné
45298;92;210;1;90;2023;1956;12;31;14;NC;0;1;1;Non abonné
45362;22;120;1;139;2023;1994;2;1;40;NC;0;1;1;Non abonné
45439;40;100;1;147;2023;1973;6;5;80;NC;0;2;1;Non abonné
45443;97;133;1;153;2023;1976;2;4;40;NC;0;1;1;Non abonné
45456;85;610;1;66;2023;1992;9;24;80;NC;0;1;2;Non abonné
45493;29;400;1;139;2023;1990;1;28;40;O;0;1;1;Non abonné
45521;97;220;1;154;2023;1992;8;14;40;O;0;1;2;Non abonné
45610;75;015;1;90;2023;1993;11;21;20;N;0;1;1;Non abonné
45791;74;160;1;64;2023;1992;4;21;40;O;0;1;1;Non abonné
45821;76;190;2;27;2023;1958;10;9;40;N;0;2;1;Non abonné
45934;43;590;1;13;2023;1995;10;4;50;O;0;1;1;Non abonné
46000;21;540;1;131;2023;1991;5;24;40;N;0;1;1;Non abonné
46008;65;150;1;147;2023;1985;8;23;40;NC;0;2;1;Non abonné
46040;64;100;1;104;2023;1949;2;27;61;O;0;2;1;Non abonné
46076;33;430;1;9;2023;1994;6;13;62;NC;0;1;1;Non abonné
46095;91;180;1;92;2023;1990;12;5;40;NC;0;1;1;Non abonné
46152;34;190;1;11;2023;1997;1;24;62;NC;0;1;1;Non abonné
46167;93;250;1;92;2023;1983;5;25;40;O;0;1;1;Non abonné
46197;95;190;1;90;2023;1981;7;17;80;NC;0;1;1;Non abonné
46213;13;005;2;33;2023;1984;9;4;40;O;0;1;1;Non abonné
46217;35;131;1;46;2023;1951;4;28;61;N;0;1;1;Non abonné
46231;75;008;2;90;2023;1958;8;2;40;O;0;1;1;Non abonné
46273;04;230;1;107;2023;1991;12;6;40;NC;0;1;1;Non abonné
46298;30;126;1;36;2023;1986;2;2;20;NC;0;0;1;Non abonné
46390;64;420;1;104;2024;1994;1;5;50;NC;0;1;1;Non abonné
46409;06;800;1;41;2024;1960;10;8;80;O;0;0;1;Non abonné
46416;88;500;1;23;2024;1996;9;9;40;NC;0;1;1;Non abonné
46521;62;300;1;166;2024;1991;2;26;40;NC;0;1;1;Non abonné
46548;75;012;3;117;2024;1950;1;1;70;STE;0;1;1;Non abonné
46557;31;400;1;68;2024;1986;11;6;40;N;0;1;1;Non abonné
46583;30;129;1;36;2024;1975;3;5;50;O;0;1;1;Non abonné
46609;31;560;1;68;2024;1980;6;13;40;N;0;1;1;Non abonné
46612;33;127;1;9;2024;1963;5;15;80;O;0;1;1;Non abonné
46617;13;960;1;33;2024;1948;5;18;61;NC;0;1;1;Non abonné
46775;56;630;1;46;2024;1996;6;26;40;N;0;1;1;Non abonné
46834;30;000;1;36;2024;1992;7;26;50;O;0;1;1;Non abonné
46891;06;300;2;41;2024;1965;1;1;40;NC;0;2;1;Non abonné
46901;94;300;1;92;2024;1975;10;17;40;NC;0;1;1;Non abonné
46917;56;250;1;46;2024;1987;5;24;20;NC;0;1;1;Non abonné
46972;64;300;1;104;2024;1994;1;8;50;NC;0;1;1;Non abonné
47082;13;009;1;33;2024;1966;5;11;40;N;0;2;1;Non abonné
47091;70;500;2;131;2024;1989;7;31;40;NC;0;1;1;Non abonné
47179;63;120;1;62;2024;1997;1;1;80;O;0;2;0;Non abonné
47292;06;110;1;17;2024;1993;5;2;20;NC;0;1;0;Non abonné
47378;40;260;1;147;2024;1983;8;26;40;N;0;1;1;Non abonné
47715;44;220;1;66;2024;1994;12;25;62;N;0;1;1;Non abonné
47788;75;017;3;117;2024;1950;1;1;70;STE;0;1;0;Non abonné
47795;30;000;1;36;2024;1995;3;10;20;N;0;1;1;Non abonné
47881;56;550;1;46;2024;1992;3;19;40;N;0;1;1;Non abonné
47904;34;390;1;11;2024;1975;4;16;30;NC;0;1;1;Non abonné
47918;39;230;1;131;2024;1973;2;7;12;NC;0;2;1;Non abonné
47936;49;450;1;66;2024;1972;2;8;40;O;0;1;1;Non abonné
48008;33;360;1;9;2024;1976;6;20;40;O;0;1;1;Non abonné
48027;57;400;1;23;2024;1983;5;29;40;O;0;1;1;Non abonné
48029;42;100;1;13;2024;1984;3;16;40;O;0;1;0;Non abonné
48038;80;800;1;138;2024;1951;3;7;40;O;0;1;1;Non abonné
48144;13;008;1;33;2024;1994;12;31;50;N;0;1;1;Non abonné
48164;71;480;1;51;2024;1964;11;28;40;O;0;1;1;Non abonné
48255;06;200;1;41;2024;1966;2;23;40;O;0;1;1;Non abonné
48313;83;300;1;30;2024;1988;3;25;40;N;0;1;1;Non abonné
48329;16;260;1;9;2024;1989;5;10;40;O;0;1;1;Non abonné
48343;21;240;1;131;2024;1964;8;10;20;N;0;2;1;Non abonné
48389;69;002;1;51;2024;1962;9;25;13;NC;0;1;1;Non abonné
48519;13;530;1;107;2024;1997;3;19;62;O;0;1;1;Non abonné
48582;47;190;1;118;2024;1953;7;30;12;NC;0;0;1;Non abonné
48672;80;800;2;138;2024;1993;4;8;40;O;0;1;1;Non abonné
48733;37;000;1;84;2024;1987;3;19;40;N;0;1;1;Non abonné
48740;14;920;1;111;2024;1993;7;12;50;N;0;1;1;Non abonné
48753;89;360;1;122;2024;1992;3;30;80;NC;0;1;1;Non abonné
48777;31;220;1;68;2024;1991;12;24;14;N;0;1;0;Non abonné
48872;01;480;1;53;2024;1993;10;31;80;NC;0;1;1;Non abonné
48881;34;070;1;11;2024;1991;7;4;40;NC;0;1;0;Non abonné
48917;94;000;1;92;2024;1980;8;29;40;N;0;1;1;Non abonné
48922;75;010;1;90;2024;1993;6;9;20;NC;0;1;1;Non abonné
48983;94;260;1;92;2024;1993;11;24;80;NC;0;1;1;Non abonné
48991;14;270;1;111;2024;1986;7;25;40;O;0;1;1;Non abonné
48999;34;000;1;11;2024;1953;7;14;61;N;0;1;1;Non abonné
49014;35;120;1;46;2024;1952;9;2;61;NC;0;1;1;Non abonné
49057;80;440;1;138;2024;1984;8;9;40;N;0;1;0;Non abonné
49087;53;190;1;46;2024;1986;4;23;80;NC;0;1;1;Non abonné
49109;31;120;1;68;2024;1991;12;7;20;O;0;1;0;Non abonné
49118;20;117;1;33;2024;1953;4;30;12;O;0;1;1;Non abonné
49149;23;100;1;105;2024;1986;2;5;50;O;0;1;2;Non abonné
49192;20;113;1;33;2024;1991;1;12;40;O;0;1;1;Non abonné
49226;42;600;1;13;2024;1977;5;9;12;O;0;1;1;Non abonné
49405;13;400;1;33;2024;1990;4;6;40;N;0;1;1;Non abonné
49468;92;150;1;159;2024;1997;12;27;62;NC;0;1;1;Non abonné
49479;84;460;1;107;2024;1959;12;29;80;O;0;1;1;Non abonné
49508;44;400;1;66;2024;1962;2;22;63;N;0;1;1;Non abonné
49529;42;155;1;13;2024;1992;7;29;50;NC;0;1;1;Non abonné
49537;13;220;1;33;2024;1991;7;31;40;O;0;1;1;Non abonné
49621;12;100;1;11;2024;1995;6;24;40;NC;0;1;1;Non abonné
49655;92;800;3;117;2024;1975;7;21;70;STE;0;1;1;Non abonné
49708;01;200;1;64;2024;1986;2;6;40;O;0;1;1;Non abonné
49802;42;100;1;13;2024;1991;7;5;40;N;0;1;1;Non abonné
49822;38;190;1;39;2024;1959;1;1;40;O;0;1;2;Non abonné
49846;92;310;1;90;2024;1985;2;20;80;NC;0;1;1;Non abonné
49930;34;000;1;11;2024;1984;10;6;40;O;0;1;1;Non abonné
49968;57;590;2;103;2024;1996;2;1;62;NC;0;1;1;Non abonné
49979;25;000;1;131;2024;1982;9;12;80;N;0;2;0;Non abonné
50031;50;620;1;111;2024;1994;4;11;80;NC;0;1;1;Non abonné
50050;38;270;1;39;2024;1990;7;23;40;O;0;1;1;Non abonné
50057;60;740;1;138;2024;1988;4;8;50;NC;0;1;1;Non abonné
50059;33;510;1;9;2024;1967;10;1;12;O;0;1;1;Non abonné
50071;13;010;1;33;2024;1974;5;5;80;NC;0;1;1;Non abonné
50153;34;070;1;11;2024;1994;10;30;62;N;0;1;1;Non abonné
50159;59;247;1;166;2024;1991;12;11;40;O;0;1;1;Non abonné
50190;06;140;1;41;2024;1966;9;14;13;O;0;1;0;Non abonné
50313;64;100;1;104;2024;1974;3;30;63;O;0;1;1;Non abonné
50454;74;210;1;64;2024;1987;3;29;30;O;0;1;0;Non abonné
50522;07;800;1;112;2024;1964;3;25;40;O;0;1;0;Non abonné
50564;95;430;1;90;2024;1979;3;21;40;O;0;1;1;Abonné
50581;45;300;1;122;2024;1980;1;7;40;NC;0;1;1;Non abonné
50691;73;190;1;64;2024;1991;7;2;40;N;0;1;0;Non abonné
50693;78;400;1;90;2024;1994;11;23;40;NC;0;1;1;Non abonné
50733;80;910;1;138;2024;1973;10;29;20;O;0;1;1;Non abonné
50833;17;610;1;117;2024;1981;10;30;80;NC;0;1;1;Non abonné
50970;83;560;1;30;2024;1992;1;31;63;N;0;1;1;Non abonné
50994;27;430;2;27;2024;1993;9;2;30;O;0;1;1;Non abonné
51002;33;270;1;9;2024;1960;3;18;30;NC;0;1;0;Non abonné
51037;69;290;1;51;2024;1995;4;9;40;O;0;1;1;Non abonné
51108;69;610;2;51;2024;1996;7;10;80;NC;0;1;1;Non abonné
51273;33;320;1;9;2024;1988;3;12;20;O;0;1;0;Non abonné
51286;91;000;1;92;2024;1988;10;12;40;NC;0;1;0;Non abonné
51305;33;210;1;9;2024;1993;7;27;63;NC;0;1;1;Non abonné
51314;92;110;1;90;2024;1984;9;14;20;O;0;1;0;Non abonné
51334;21;460;2;131;2024;1989;6;16;30;N;0;1;1;Non abonné
51355;97;354;1;155;2024;1969;6;24;50;NC;0;1;1;Non abonné
51420;64;110;1;104;2024;1979;8;10;30;O;0;1;1;Non abonné
51429;15;130;1;62;2024;1996;10;30;62;N;0;1;1;Non abonné
51470;69;007;1;51;2024;1990;10;13;20;N;0;1;1;Non abonné
51476;81;260;1;68;2024;1994;12;7;40;N;0;2;0;Non abonné
51509;34;440;1;11;2024;1992;6;11;40;O;0;1;1;Non abonné
51520;62;290;1;166;2024;1985;8;5;40;N;0;1;1;Non abonné
51556;74;890;1;64;2024;1982;3;16;40;NC;0;1;1;Non abonné
51627;69;870;1;53;2024;1993;1;6;50;N;0;1;1;Non abonné
51734;42;610;2;13;2024;1996;3;16;80;N;0;1;1;Non abonné
51758;49;460;1;66;2024;1964;6;5;80;NC;0;2;1;Non abonné
51771;70;700;1;131;2024;1986;6;3;20;NC;0;1;1;Non abonné
51796;21;300;1;131;2024;1988;8;31;40;O;0;1;0;Non abonné
51813;38;380;1;39;2024;1996;2;27;62;NC;0;1;1;Non abonné
51947;66;210;1;11;2024;1962;10;23;80;O;0;1;1;Abonné
51966;65;360;1;147;2024;1969;5;12;50;O;0;1;1;Non abonné
51972;49;270;1;66;2024;1993;3;2;40;N;0;1;1;Non abonné
52043;27;180;1;27;2024;1999;4;4;40;N;0;1;1;Non abonné
52058;03;380;1;62;2024;1983;5;4;50;NC;0;1;1;Non abonné
52103;01;150;2;51;2024;1989;9;16;40;O;0;1;1;Non abonné
52107;69;004;1;51;2024;1990;12;31;80;NC;0;2;0;Non abonné
52133;29;590;1;139;2024;1988;11;10;40;O;0;1;1;Non abonné
52200;76;000;1;27;2024;1962;6;23;40;O;0;1;1;Non abonné
52207;74;350;1;64;2024;1996;4;12;40;O;0;1;1;Non abonné
52225;78;660;1;92;2024;1996;12;20;62;N;0;1;0;Non abonné
52261;35;300;1;46;2024;1993;7;23;40;O;0;1;1;Non abonné
52266;71;370;1;51;2024;1959;8;1;13;NC;0;1;1;Non abonné
52307;86;450;2;113;2024;1980;4;20;20;N;0;1;1;Non abonné
52343;40;390;1;147;2024;1980;8;19;40;O;0;1;1;Non abonné
52351;59;800;1;166;2024;1994;1;3;80;NC;0;1;1;Non abonné
52481;93;130;1;92;2024;1980;7;23;40;NC;0;1;1;Non abonné
52538;50;000;1;111;2024;1987;4;11;20;N;0;1;1;Non abonné
52571;69;007;1;51;2024;1997;4;3;80;NC;0;1;1;Non abonné
52578;26;250;1;112;2024;1991;9;18;40;NC;0;1;1;Non abonné
52603;45;000;3;117;2024;1950;1;1;70;STE;0;1;0;Non abonné
52652;97;310;1;155;2024;1970;6;26;80;NC;0;0;1;Non abonné
52655;38;112;2;39;2024;1987;6;29;14;N;0;1;1;Non abonné
52657;33;130;1;9;2024;1974;6;24;12;O;0;1;1;Non abonné
52678;38;960;1;39;2024;1989;11;6;40;O;0;1;1;Non abonné
52698;75;013;1;92;2024;1979;6;25;40;N;0;1;0;Non abonné
52799;87;600;1;105;2024;1960;3;24;80;NC;0;0;0;Non abonné
52805;13;016;1;33;2024;1994;5;10;62;N;0;1;1;Abonné
